ID,Description,Entry_ID,Comment
SN000795,be relieved,LX000361,
SN000796,satisfy,furmi,
SN000797,whorehouse,LX000362,
SN000798,hole; doorway; opening,LX000363,
SN000799,alms,LX000364,
SN000800,take out; lead out,LX000365,
SN000801,make,LX000365,something out of someting else
SN000802,give name,LX000365,
SN000803,produce for oneself,LX000366,
SN000804,swell; inflate oneself with anger,fuugi,
SN000805,fart,fuutti,
SN000806,rue,gaabbatto,
SN000807,regret,gaabbi,
SN000808,commander; general,gaadaanna,"lit.: father of mobilization, army"
SN000809,mobilize; march to war,gaadi,
SN000810,march; mobilization,gaado_1,
SN000811,son of Habeela,gaado_2,
SN000812,catfish,LX000367,
SN000813,camel,gaala,
SN000814,spirit of the river,gaaleena,
SN000815,be assigned,gaamami,
SN000816,assign; be assigned,gaami,
SN000817,group,gaamo,
SN000818,sterile,gaana,
SN000819,mountain,gaara,
SN000820,eyelashes; area around the eyes,gaara,
SN000821,look straightly into the eyes,LX000368,
SN000822,wagon,gaare,
SN000823,uproar; tumult; discussion; fight,gaaro,
SN000824,wall,gaata,
SN000825,pipe for smoking,gaayya,
SN000826,shake,LX000369,
SN000827,take forcibly; hurt,LX000370,
SN000828,farmer,gabare,
SN000829,table for food,gabate,
SN000830,be relieved,gabbi_yi,from sorrow
SN000831,suppress politically; lay burdens on smbdy,gadadisi,
SN000832,suffering; oppression,gadado,
SN000833,father of Habeela,gadira,
SN000834,excuse oneself; protest mildly; be modest,LX000371,
SN000835,flog,LX000372,
SN000836,seed; descendants; tribe,LX000373,
SN000837,throat; inside,LX000374,
SN000838,nationality,LX000375,
SN000839,portion,gafa,"e.g. the piece of land to be cultivated in a certain time; for a day, for a short time ???"
SN000840,cook; boil (tr),gafi,
SN000841,wax,gaga,
SN000842,breast,gagaso,
SN000843,stumble painfully,gaggabi,
SN000844,greedy person,gaggadaamo,
SN000845,greed,LX000376,
SN000846,green ring for finger,LX000377,
SN000847,damage,galaaffati,
SN000848,pods,galaba,(agner)
SN000849,monkeys,galada,
SN000850,repeat an action (itr),galagali,inflected as converb: again
SN000851,repeat an action (tr),LX000378,inflected as converb: again
SN000852,monkey,LX000379,
SN000853,thanks,galata,
SN000854,thank,galateeffati,
SN000855,thank,galati,
SN000856,cause to give thanks,galatisiisi,
SN000857,postpone,LX000380,
SN000858,stop; become sober,galfati,
SN000859,encourage; pacify; cause to be sober,LX000381,
SN000860,spend the night; live,gali,
SN000861,abide with a custom,gali,
SN000862,enter,gali,
SN000863,the Shaman's work-house,galma,where he gets into trance and has contact with spirits
SN000864,property,galte,
SN000865,spouse,galte,
SN000866,law; custom; way of living,galte,
SN000867,custom,galte,
SN000868,turn (tr); upset,LX000382,e.g. drying clothes
SN000869,pour in; drink excessively,LX000383,
SN000870,someone; some; half,gama,
SN000871,rivershore; roadside,gama,
SN000872,from the other side,LX000384,
SN000873,yeast,gamaamma,made of fermented ensete pulp
SN000874,ferment,gamaamma,
SN000875,add yeast,gamaansi,
SN000876,ferment,LX000385,
SN000877,get birth pangs,LX000386,
SN000878,side with; cooperate,gamami,
SN000879,add ferment,LX000387,
SN000880,be sharp,LX000388,
SN000881,sharpen; whet,LX000389,
SN000882,gather (itr); come near,gamba_yi,
SN000883,gather (tr); present (tr),LX000390,
SN000884,collect,LX000390,
SN000885,present,LX000390,
SN000886,collect for oneself,LX000391,
SN000887,gather,LX000391,
SN000888,vessels,gambae,
SN000889,pot,LX000392,"very big one, women carry water in it"
SN000890,gather (itr); come near; bring,LX000393,
SN000891,stomach-ache; labour pain,game,
SN000892,pangs of birth,game,
SN000893,catfish,LX000394,
SN000894,near; beside,gamira,
SN000895,circular mound of soil; sign of boundary; hole for fire,gammala,
SN000896,son of Habeela,gammaso,
SN000897,group,gamo,
SN000898,lowland; desert,LX000395,
SN000899,be lukewarm,gamuuti,
SN000900,plot-maker; intrigue-maker,LX000396,
SN000901,stray thread in weft,LX000397,
SN000902,plot-maker; intrigue-maker,LX000397,
SN000903,be beaten,ganami,
SN000904,move in circles (itr),gangaabi,
SN000905,knock repeatedly,gangani,
SN000906,brush off oneself,LX000398,e.g. dust
SN000907,encircle (tr),gangeessi,
SN000908,beat; cut off,gani,
SN000910,beat,gani,"S: rain, sun"
SN000911,plan,gani,O: plot
SN000912,crow,gani,S: cock
SN000913,cut off,gani,
SN000914,strike; plot,gano,
SN000915,cold,LX000399,illness
SN000916,yeast,LX000400,rapid speech
SN000917,manner; way; condition,gara,
SN000918,correctness,gara,
SN000919,winner in a lawsuit,LX000401,
SN000920,fight each other in court; be defeated in court,garami,
SN000921,pond,garba,
SN000922,tree species,LX000402,
SN000923,Sidaama tribe in the Yirgaalem Agere Selam area,LX000402,
SN000924,members of the garbicco clan,LX000403,
SN000925,ponds,garbootta,
SN000926,oats,gardama,
SN000927,something vain; sterile; useless,LX000404,
SN000928,name of man,LX000405,
SN000929,defend oneself,LX000406,
SN000930,speech in defense of oneself,LX000407,
SN000931,defend before court,gargari,
SN000932,speech of defense,LX000408,
SN000933,be vindicated; win a lawsuit,gari,
SN000934,in an improper manner,garimale,
SN000935,group,garo,
SN000936,judges,garo,
SN000937,religious secluded group,garo,
SN000938,administrator,LX000409,
SN000939,my shield,LX000410,"used in addressing leader, one in authority"
SN000940,put up for the night,LX000411,
SN000941,understand; remember,LX000411,
SN000942,administer,LX000411,
SN000943,administer for oneself,LX000412,
SN000944,reign; kingdom; administration,LX000413,
SN000945,cultivated field; area behind the house,gate,
SN000946,be left over; escape; remain,gati,
SN000947,escape,gati,
SN000948,remain,gati,
SN000949,be saved (rel),gati,
SN000950,wild animal,gatigala,
SN000951,saviourness,LX000414,
SN000952,saviour,LX000415,
SN000953,cause to escape,gatisi,
SN000954,save (rel),gatisi,
SN000955,cause to be saved for oneself; put aside,LX000416,money
SN000956,forgivenness; salvation,gato,
SN000957,repent,LX000417,
SN000958,forgive,gatona_yi,
SN000959,chin,LX000418,
SN000960,destitute person,gattaamo,"lacks food, house, etc."
SN000961,countryside,LX000419,
SN000962,undomesticated animals/birds,LX000420,
SN000963,tomorrow,LX000421,
SN000964,the following day,LX000422,
SN000965,in three days,LX000423,
SN000966,be sheltered,LX000424,
SN000967,bite; eat,LX000425,
SN000968,threaten; bite one´s lower lip (XXII 18-6),LX000426,
SN000969,player (in any game where the action is expressed by 'beat'),LX000427,
SN000970,play (certain games),LX000428,
SN000971,build,LX000428,
SN000972,cut,LX000428,"weese, badala"
SN000973,agitate; strike; lay an evil plan,LX000428,
SN000974,beat oneself,LX000428,
SN000975,fruit which resembles orange; the tree that bears that fruit,LX000429,
SN000976,that,gede_1,
SN000977,likeness,gede_2,
SN000978,like,gede_3,
SN000979,as,gede_4,in the same way as
SN000980,in order to,gede_4,
SN000981,do later; be later,gedeni,add entry gedexn-
SN000982,later,gedensa,
SN000983,later; after,gedensaanni,
SN000984,afterwards,gedensaanni,
SN000985,after,gedensaanni,
SN000986,smth that resembles smth,LX000430,
SN000987,make poetry,geebi,
SN000988,poem,geebo,
SN000989,female bushbuck,geedimaama,
SN000990,male bushbuck,geedimo,
SN000991,long time,geedo,
SN000992,grow old,LX000431,
SN000993,follow someone until he/she takes leave,geegiissi,
SN000994,stare,LX000432,
SN000995,brag,geerari,
SN000996,old people; elders,geerra,
SN000997,old people,geerroota,
SN000998,old person,LX000433,
SN000999,elder,LX000433,
SN001000,size,LX000434,
SN001001,measure,LX000434,
SN001002,up to,LX000435,
SN001003,until,LX000436,
SN001004,measure,LX000437,
SN001005,be sleepless,geleeli,
SN001006,sheep (pl),gereebo,
SN001007,milk-vessel,gereere,"Adorned, made of Koonco (fruitshell)"
SN001008,sheep (sg),LX000438,
SN001009,ram; lamb of sheep,LX000439,
SN001010,become sour,LX000440,of milk
SN001011,sour milk;,LX000441,
SN001012,colostrum,LX000441,
SN001013,very clever woman,LX000441,
SN001014,warm oneself,LX000442,
SN001015,quarrel,gibama,
SN001016,quarrel,gibami,
SN001017,quarrel,LX000443,
SN001018,compound,gibbe,
SN001019,quarrel,gibbo,
SN001020,refuse; hate,gibi,
SN001021,hate,gibi,
SN001022,tax,gibire,
SN001023,regard as enemy,LX000444,
SN001024,compel,giddessi,
SN001025,climb,giddi_1,"tree, house, horse"
SN001026,at,giddi_2,
SN001027,cause to climb; take upwards,giddisiisi,
SN001028,island,LX000445,
SN001029,inside; among; at,giddo_1,
SN001030,inside,giddo_2,
SN001031,inner,giddoiidi,
SN001032,inside,giddoiido,
SN001033,from the inside of; from among,giddonni,
SN001034,into,giddora,
SN001035,grain; crop; harvest,gide,of cereal
SN001036,fall down because it is ripe; scatter,giggili,
SN001037,smth that falls down,giggilo,e.g. crumbles of waasa
SN001038,tear down part of a house in order to renew it,LX000446,
SN001039,drizzle,LX000446,
SN001040,drip,LX000446,rain
SN001041,snatch; kick off,LX000446,
SN001042,brush off oneself,LX000447,
SN001043,tear asunder,LX000447,O: one's clothes
SN001044,burn for oneself,LX000448,
SN001045,fire,giira,
SN001046,burn (itr); be burned; be very angry,giirami,
SN001047,burn (tr); torture,giiri,
SN001048,sound-imitation of shivering,gikkigikki,
SN001049,look furiously at smbdy,LX000449,related to gal- (make entry) burn black
SN001050,refuse; disobey,gimbi_yi,
SN001051,bamboo basket; dust-bin,ginboola,e.g. for carrying out manure
SN001052,underside of the heel,ginde,
SN001053,xylophone; music of xylophone,gingilaate,
SN001054,counteract; work against smbdy or smth,LX000450,
SN001055,wall,girgidda,
SN001056,outside,gobba,
SN001057,earth; country; land,gobba,
SN001058,land,gobba,
SN001059,country,gobba,
SN001060,bird (species),LX000451,
SN001061,external; outer; outside,gobbaado,
SN001062,outer; outside,gobbaiido,
SN001063,sew; braid; plait,gobi,
SN001064,hole,goda,
SN001065,ascend; climb,LX000452,"e.g. mountain, tree"
SN001066,stomach; favour,godoba,
SN001067,disagree with each other,godoba_fafi,lit. the stomach is far away
SN001068,conceive baby,godobami,
SN001069,become pregnant,godobi,
SN001070,be biased,godobi,
SN001071,be pregnant,LX000453,
SN001072,intestines,godobire,lit. things in the stomach
SN001073,be pregnant,godobu_gati,
SN001074,game,godolle,
SN001075,bellow; bleat; crow; bray,godoodi,"ox, sheep, cock, donkey"
SN001076,play,LX000454,
SN001077,game,LX000454,
SN001078,play,LX000455,
SN001079,game,LX000456,
SN001080,insult implying that a man is childless,LX000457,"G: wizard, sorcerer"
SN001081,bush (species); its berry,LX000458,
SN001082,"den; living-place for robbers, lion, leopard",goggoolo,
SN001083,be uprooted,LX000459,
SN001084,pick up; uproot,LX000460,e.g. grass
SN001085,cracks in old trees,gogolo,
SN001086,mongoose,LX000461,
SN001087,"field for wheat, barley, beans etc.",goire,
SN001088,corner,gola,
SN001089,defend oneself; be shielded,golami,
SN001090,evil spirit in women,golfa,
SN001091,evil spirit in women,golfe,
SN001092,catch falling object; guard; prevent,goli,
SN001093,guard,goli,
SN001094,big chair,golla,
SN001095,firewood-place,golo,"Because firewood is also put between living-room and cattle-rooms, it may also be the name of the wall between them"
SN001096,fence; low wall in house between hadiro and xale,golo,
SN001097,delay,gomaasi,
SN001098,lie on stomach; lean forward,gombisami,
SN001099,become cloudy,LX000462,
SN001100,cloud,LX000463,
SN001101,covenant,gondooro,
SN001102,skin-clothes,gonfa,"like skirt, fastened with hiito (for males)"
SN001103,multicoloured cloth,gonfa,
SN001104,piece of wood on which waasa is knead,gonga,
SN001105,roll (itr),gongomi,
SN001106,cause to roll,LX000464,
SN001107,tumble over,LX000465,
SN001108,roll (tr),LX000466,
SN001109,neck,gooba,
SN001110,be thick and strong,goobi,
SN001111,lamb of sheep,goodane,
SN001112,become thirsty,LX000467,
SN001113,be thirsty,LX000468,
SN001114,thirst for coffee or water,LX000469,
SN001115,come to an end; be used up; make scant progress,goofi,
SN001116,end,LX000470,
SN001117,skin; hide,googa,
SN001118,big vessel,googide,takes about 8 gambaicco (s.d.)
SN001119,goat roam,goorancha,
SN001120,lakeside; shore,gooro,
SN001121,mountain; mountainside,gooro,
SN001122,mountainside,gooro,
SN001123,barn,gootaara,
SN001124,store in a barn,gootaari,
SN001125,put into the barn,gootaari,
SN001126,warrior ant,LX000471,
SN001127,cottage; temporary shed for keeping watch,LX000472,
SN001128,sew for oneself,LX000473,
SN001129,sword,goraade,
SN001130,sky; heaven,gordo,
SN001131,heaven,gordo,
SN001132,cloth of skin,gorfa,
SN001133,die,gori,
SN001134,sliver,gorori,
SN001135,be or become thirsty,gorri,
SN001136,slaughter,gorri,
SN001137,tribe,gosa,
SN001138,forge,gosee,blacksmith´s working-place
SN001139,be uprooted,LX000474,
SN001140,sexual intercourse; marriage,LX000475,old usage for marriage (SAED)
SN001141,uproot; pick up grass,LX000476,
SN001142,pick up,LX000476,
SN001143,have sexual intercourse,LX000476,
SN001144,be pulled,LX000477,
SN001145,pull,LX000478,
SN001146,hyena,LX000479,
SN001147,ram; lamb of sheep or goat,LX000480,
SN001148,exalt,LX000481,
SN001149,rise up,gotti_yi,
SN001150,raise,LX000482,voice
SN001151,sleep,LX000483,
SN001152,sleep,LX000484,
SN001153,cause to sleep; put to bed,LX000485,
SN001154,sleep,LX000486,
SN001155,fool,gowwa,
SN001156,become foolish,gowwi,
SN001157,foolishness,gowwimma,
SN001158,hail; call of worship,gu,
SN001159,song of praise,gubata,
SN001160,praise,gubati,
SN001161,worship,LX000487,
SN001162,take a mouthful,gubbi,
SN001163,praise,LX000488,
SN001164,subdivision of hollo clan,LX000489,
SN001165,finish (tr); kill,gudi,
SN001166,absolutely,gudisami,
SN001167,finish (tr); cause to be finished,gudisi,
SN001168,market-place,gudumaale,
SN001169,decease,LX000490,
SN001170,stumble and fall,LX000491,
SN001171,run slowly,gugati,
SN001172,follow,gugati,
SN001173,cause to run away in one's own interest,LX000492,
SN001174,strict,gugga,
SN001175,milk-jar,guggudo,
SN001176,shout of worship,LX000493,
SN001177,thunder,gugi,
SN001178,seat of honour,gulanta,in Hollo house
SN001179,ride,gulufi,"DO: horse, boat, bicycle"
SN001180,kneel,LX000494,
SN001181,knee,LX000495,
SN001182,women visitors at birth or circumcision,gumaata,
SN001183,thin bracelet for women,gume,
SN001184,fruits; seed,gumma,
SN001185,complain; protest; grumble; speak with uncontrolled voice,gungumi,
SN001186,widowhood,gunnimma,
SN001187,widow,gunnitte,
SN001188,widows,gunnoota,
SN001189,bud; become big,guntuti,
SN001190,left,gura,opposite of right
SN001191,left,guraiidi,
SN001192,splice; make a knot,gurdi,
SN001193,gather,guri,e.g. by sweeping
SN001194,sparrows,LX000496,
SN001195,whore,gursumeete,
SN001196,duiker,LX000497,
SN001197,a traditional garment,gusso,smaller than darbata s.d.
SN001198,do smth early,guti,
SN001199,make smth common,gutisi,for all
SN001200,common,guto,for all
SN001201,finish for oneself,LX000498,
SN001202,be unsuitable; be uncomfortable,LX000499,
SN001203,attack with lowered horns,guuli,ox
SN001204,fog; cloud,LX000500,
SN001205,fulfil,guuti,law
SN001206,who; which,-ha,
SN001207,which,-ha,
SN001208,recline,haabi,not stand erect
SN001209,push sideways from upright position,haabissi,
SN001210,take along; receive,LX000501,
SN001211,fancy,haafa,
SN001212,in vain; useless; far from the truth,haafa,
SN001213,dream,LX000502,
SN001214,froth,haamba,
SN001215,group,haammo,
SN001216,side,haanto,
SN001217,ruminate,LX000503,
SN001218,rumination,LX000504,
SN001219,scoff at; joke with,haarimi,
SN001220,laughing-stock,haarimo,
SN001221,new,haaro,
SN001222,renewal,LX000505,
SN001223,be renewed,LX000506,
SN001224,unknown place,haba,to forget?
SN001225,name of lake; name of city,habaasa,meaning 'wide'?
SN001226,place,habaasi,
SN001227,rainy season,habado,
SN001228,congratulations!,LX000507,lit. congratuations with being happy
SN001229,welcome,haballe_keerunni_daitto,lit. congratulations with arriving healthy
SN001230,fortunately,haballella,
SN001231,fool,LX000508,
SN001232,become evening,habarri,
SN001233,evening; afternoon,habarro,
SN001234,rain a little; be sparse,LX000509,
SN001235,barbed spear,habbarra,
SN001236,area in Sidaama; village in Sidaama,habeela,
SN001237,people from Habeela,habeelaanto,
SN001238,forget,habi,
SN001239,epilepsy,habunaate,
SN001240,tyfus,habusa,
SN001241,farmer; one who plows with oxen,LX000510,
SN001242,plow with oxen,habuuri,
SN001243,farm-work with oxen,LX000511,
SN001244,please,hadara,
SN001245,order; rebuke,hadari,
SN001246,cow-room,hadiro,
SN001247,Sidaama lowland,LX000512,
SN001248,matter,LX000513,
SN001249,obey,LX000514,
SN001250,order; command,LX000515,
SN001251,commandment,LX000516,
SN001252,matter,LX000517,
SN001253,walker,LX000518,
SN001254,wander about,LX000519,
SN001255,poison,LX000520,
SN001256,go,LX000521,
SN001257,travel,LX000521,
SN001258,journey; voyage,LX000522,
SN001259,make smbdy walk; enable smbdy to walk,LX000523,
SN001260,cause to go,LX000524,
SN001261,manure,LX000525,
SN001262,track,LX000526,
SN001263,grasp,LX000527,
SN001264,greed,hafuura,
SN001265,greedy person,hafuuraamo,
SN001266,Hagere Maryam,hagere_marami,
SN001267,Hagere Selam,hagere_selame,
SN001268,be happy,LX000528,
SN001269,joy,hagirre,
SN001270,hope,LX000529,
SN001271,promise,LX000530,lit. give joy
SN001272,make happy; please,hagirsiisi,
SN001273,give to drink; explain in detail,haikkisi,
SN001274,religion,haimanote,
SN001275,grass,haisso,
SN001276,wash,LX000531,
SN001277,wash oneself,LX000532,
SN001278,barley,LX000533,
SN001279,to there,hakka,
SN001280,at that time,hakka_waro,
SN001281,at that time,hakka_woite,
SN001282,from there,hakkanni,
SN001283,from there,hakkii,
SN001284,besides,LX000534,
SN001285,there (medial),LX000535,
SN001286,from (there),LX000535,
SN001287,afterwards; after that,LX000536,
SN001288,afterwards; after that; from there,LX000537,
SN001289,there (medial),LX000538,
SN001290,that (medial),hakko,
SN001291,that; there,hakko,
SN001292,there,hakko,
SN001294,immediately,hakko_hirbinni,
SN001295,immediately; suddenly,LX000539,
SN001297,that (medial),hakkonne,
SN001298,however,hakkonnella_kainni,
SN001299,those (medial),hakkore,
SN001300,therefore,LX000540,
SN001301,those,hakkuri,a little far
SN001302,from there,hakkuu,
SN001303,stiffen; become cold,LX000541,corpse
SN001304,pole,LX000542,"long and thick, for building houses"
SN001305,firewood,LX000543,
SN001306,wood,LX000543,
SN001307,tree,LX000544,
SN001308,firewood; dry wood,LX000545,
SN001309,tree,LX000545,living
SN001310,true,LX000546,
SN001311,truth,halaale,
SN001312,tell the truth,LX000547,
SN001313,truely,halaalinta,
SN001314,chief,LX000548,
SN001315,chief,LX000549,
SN001316,chief,LX000550,
SN001317,desert; plain with only grass,halalla,
SN001318,helper; partial person,LX000551,
SN001319,help each other,halami,
SN001320,lash,halange,
SN001321,extend; make wider,LX000552,
SN001322,wide; large; generous,LX000553,
SN001323,width,LX000554,
SN001324,lake,LX000555,lit. wide water
SN001325,widely,LX000556,
SN001326,spread out; do smth extensively,LX000557,
SN001327,helper,hale,one who chooses sides and helps one
SN001328,support; collaborator; accomplice,hale,SAED
SN001329,hip,hallo,
SN001330,one who desires smth,LX000558,
SN001331,crave for; desire,LX000559,
SN001332,desire,LX000559,
SN001333,wish,LX000559,
SN001334,wish; desire,LX000560,
SN001335,greed,hamaada,
SN001336,be jealous,LX000561,
SN001337,snake,LX000562,
SN001338,crumbs,hamba,of food
SN001339,whirlwind,hambabbalatte,
SN001340,salivate; emit froth,LX000563,
SN001341,Amen,LX000564,
SN001342,abund,hammati,
SN001343,name of man,hammeeso,
SN001344,subdivision of Hollo clan,hanaafa,
SN001345,false witness; putting bad thought into action,LX000565,
SN001346,begin,hanafi,
SN001347,introduction; beginning,hanafo,
SN001348,edge of garment,handaara,
SN001349,ox,hando,
SN001350,green,LX000566,
SN001351,be green,LX000567,
SN001352,scratch,LX000568,the bite of a flea etc.
SN001353,embrace,LX000569,
SN001354,be silent with fury; be angry with each other,LX000570,
SN001355,proper_name,LX000571,"meaning ""May he not speak"" (because he is angry), ""May he brood"""
SN001356,be or become angry,LX000572,
SN001357,complain,LX000572,
SN001358,speak with uncontrolled voice,LX000572,
SN001359,anger,LX000573,
SN001360,do; do not,hanni,
SN001361,dance,hano,for the married
SN001362,deceitful person,hantaalaamo,
SN001363,deceit,hantaalo,
SN001364,temporary house; assembly hall,hara,SAED
SN001365,arak; ouzo,LX000574,
SN001366,spit,harafo,
SN001367,short,LX000575,
SN001368,short person or thing,LX000576,
SN001369,be short,LX000577,
SN001370,be fat,hardi,oxen etc.
SN001371,angry voice; animal's roar,LX000578,
SN001373,crow; raven,LX000580,
SN001374,silk; linen,harre,
SN001375,donkey,LX000581,
SN001376,thoughts; ideas,hasaaba,
SN001378,converse with smbdy,hasaabisi,
SN001379,wish,hasatto,
SN001380,seek; look for,hasi,
SN001381,look for,hasi,
SN001382,want,LX000582,
SN001383,be necessary,hasiisi,
SN001384,waasa-place,hassa,the place where one prepares waasa
SN001385,discuss; converse,hassabi,
SN001386,converse,hassabi,
SN001387,whisper,LX000583,
SN001388,night,LX000584,
SN001389,become night,LX000585,
SN001390,fortunately,LX000586,
SN001391,dry ensete or banana leaf,LX000587,
SN001392,outer layer of the ensete root,hato,
SN001393,that,hatte,
SN001394,instantly,LX000588,
SN001395,that (medial),hattenne,
SN001396,that (medial),hatti,
SN001397,like that,hatto,
SN001398,like that; likewise; in the same way,hattonni,
SN001399,in the same way,hattono,
SN001400,rather,hattontenni,
SN001401,thorny bush,LX000589,Source: T
SN001402,shoulder; neck,LX000590,
SN001403,be close to victory,LX000591,
SN001404,name of man,LX000592,
SN001405,leave alone,hayyi_yi,
SN001406,talk wisely,hayyisi,
SN001407,wise person,LX000593,
SN001408,wisdom; great knowledge,hayyo,
SN001409,be partial; support; help; take sides,LX000594,
SN001410,inner root of the ensete palm,LX000595,
SN001411,leaf with good scent,LX000596,
SN001412,be planned; be elected,hedami,
SN001413,suddenly,LX000597,
SN001414,think; plan,hedi,
SN001415,thought; plan; thinking capacity; mind,hedo,
SN001416,Eve,heebaani,
SN001417,town in Bale,heebano,
SN001418,boast to each other,heebisami,
SN001419,boasting; boasting competition,heebo,
SN001420,live; be alive; be in a place,LX000598,
SN001421,exist,LX000598,
SN001422,be,LX000598,
SN001423,bear a grudge,heelaati,
SN001424,central pillar in the Sidaama circular house,LX000599,
SN001425,storey,heello,
SN001426,bow down; be lowered,LX000600,
SN001427,life,LX000601,
SN001428,Guinea-fowl,heeyyakko,
SN001429,backbite,LX000602,
SN001430,forever,hegere_hegere,
SN001431,wick; thread,LX000603,
SN001432,string,LX000603,
SN001433,wick; thread,LX000604,
SN001434,be damaged,heleelami,
SN001435,damage,heleeli,
SN001436,backbiting,heme,
SN001437,bitterness,LX000605,
SN001438,vernonia mycrocephala,LX000606,plant species
SN001439,opponent,LX000607,
SN001440,oppose,hettisi,
SN001441,hope,LX000608,
SN001442,mind; thinking capacity,LX000609,
SN001443,tell a riddle,hibbibbi,
SN001444,riddle; problem; pun,hibbo,
SN001446,buy,LX000610,
SN001447,be bored,hifati,
SN001448,be oriented,hige_1,
SN001449,reach,hige_1,
SN001450,oriented; dummy verb preceded by some expression for orientation,hige_2,
SN001451,return; turn; reach (a number); be,higi,
SN001452,turn,higi,
SN001453,make occur,higi,
SN001454,pass,higi,
SN001455,cause to return,higisiisi,
SN001456,cry,hii_yi,
SN001457,where,hiikka,
SN001458,be how; be where,hiikki,interrogative verb
SN001459,where specifically,LX000611,
SN001460,where,hiikko_1,
SN001461,which,hiikko_1,
SN001462,be where,hiikko_2,
SN001463,which one,hiikkonne,
SN001464,break into pieces; break repeatedly,LX000612,
SN001465,be broken,LX000613,
SN001466,cut; mutilate,LX000614,
SN001467,break,LX000614,
SN001468,break,LX000615,
SN001469,cause to break,LX000615,
SN001470,heaven,hiima,
SN001471,chew,LX000616,
SN001472,do how,hiissi,interrogative verb
SN001473,interpret,hiissi,
SN001474,girdle; belt made of cloth,hiito,
SN001475,which one,hiittenne,
SN001476,which one,hiitti,
SN001478,what kind of,hiitto,
SN001479,how,hiitto,
SN001480,how,hiittonni,
SN001481,stretch out,LX000617,part of the body
SN001482,take!,LX000618,nasal ii
SN001483,shortness,LX000619,
SN001484,rabbit,hilleessa,
SN001485,"sticks; supporters in the roof, going from the wall to the top",hilo,
SN001486,neglection of duty,hilo,e.g. mother - child
SN001487,supporter,LX000620,
SN001488,prophesy,himana,
SN001489,prophet,LX000621,
SN001490,prophet,LX000622,
SN001491,prophesy,himani,
SN001492,neigh,himimmisi,horse
SN001493,jealous or zealous person,LX000623,
SN001494,be jealous,hinaasi,
SN001495,jealousy,hinaaso,
SN001496,tear,hindiiddo,
SN001497,1PL,hinke,
SN001498,draw water,hinkiilli,
SN001499,tooth,LX000624,
SN001500,tooth; teeth,hinko,
SN001501,jealousy,hinooso,
SN001502,crack,LX000625,
SN001503,cause to crack,LX000626,
SN001504,sound of footsteps;,hirba,
SN001505,movement; speed,hirba,
SN001506,fourth period of luba,hirboora,
SN001507,sell,hiri,
SN001508,run in response to a call of help,hiro_fuli,
SN001509,strongly,hirratame,
SN001510,strong man,hirratamo,
SN001511,be hired; employ one's strength,hirre_wori,
SN001512,catch! Don't let … escape!,LX000627,
SN001513,follow towards home,hirsiisi,in darkness
SN001514,cause to sell,hirsisi,Source: G
SN001515,joyous,hisata,
SN001516,be happy; be relieved,hisati,
SN001517,lot,LX000628,
SN001518,draw lots,LX000629,lit: throw lots
SN001519,be devout; be serious,LX000630,
SN001520,incense,LX000631,
SN001521,grass with good scent,LX000632,"used to flavour milk, butter, cheese (SAED)"
SN001522,wolf,hiyyeessa,
SN001523,give birth,hobbahi,
SN001524,be healthy,hobbahi,
SN001525,change one´s mind,hobbi_yi,
SN001526,sailor,LX000633,
SN001527,boat,hobolo,
SN001528,dough of waasa after scratching,hoboobe,
SN001529,few,LX000634,
SN001530,few,LX000635,
SN001531,green and blade-like part of a plant,hogga,
SN001532,scratch,hogi,ensete leaves
SN001533,load,hogobi,
SN001534,load,hogobo,"of boat, donkey, car etc."
SN001535,load for oneself,LX000636,
SN001536,ensete leaf,LX000637,
SN001537,cripples without leg,hokkolle,
SN001538,ferment,LX000638,
SN001539,cause to ferment,LX000639,
SN001540,scratch the ensete leaves,LX000640,
SN001541,investigate; interrogate,LX000641,
SN001542,clan of Sidaama,hollo,practices a particular ancestral worship
SN001543,skin; leather,homba,
SN001544,whirlwind,hombobbolatte,
SN001545,perspiration,honke,
SN001546,digging tool,LX000642,
SN001547,"scratch with nails, claws, front feet; ask",LX000643,
SN001548,ninety,honsao,
SN001549,nine,honse,
SN001550,ninth,honsi,
SN001551,compound; station,hoobe,
SN001552,palm of the hand; footblade,hoobe,
SN001553,inside of foot or hand,hoobo,
SN001554,after; behind,hoode,
SN001555,win followers,hoode_gani,
SN001556,after,hoodera,
SN001557,name of former Sidaama tribe,hoofa,
SN001558,small,hooffado,
SN001559,small; minor,hooffaiidi,
SN001560,trunk of dry ensete; dry leaves around the lower part of ensete trunk,LX000644,used to wrap up butter
SN001561,omission,hooga,
SN001562,ensete leaves,hoogga,
SN001563,lack; not to find,hoogi,
SN001564,be irritated; not to want,hoogi,
SN001565,ensete leaf,LX000645,
SN001566,Oh,hoola,
SN001567,bedroom,hoolge,
SN001568,prevent; hinder; forbid; remove,hooli,
SN001569,remove,hooli,
SN001570,sword,hoollo,
SN001571,termites; small ants,hoolo,
SN001572,lack,hoonge,
SN001573,lack,hoongo,
SN001574,hurry to do something,hoori,
SN001575,waste; upper part of ensete root,LX000646,
SN001576,shiver; be uneasy,hootami,
SN001577,flock to,hootami,
SN001578,prevent for oneself,LX000647,
SN001579,follow,hordofi,quickly
SN001580,never; totally; absoluteness,horo,
SN001581,at all,horonta,
SN001582,never,horontanni,
SN001583,never; absolutely,horosi,lit. Its absoluteness
SN001584,sit uneasily,LX000648,as if wanting to rise
