ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Corpus_Reference,Media_IDs,Sense_IDs,Gloss_POS,Lexical_Entries
XV000316,sid,gagasansa gaʔnitanni,gagas\t-a\t-nsa\tgaʔn\t-i\t-ta\t-nni,breast\tACC\t3PL.POSS\tbeat\tEV\tPART.3T\tABL,beating their breasts,,,XV 56-48,,SN000974,n\tn:Any\tPronoun\tv\tAttaches to any category\tv:Any\tcase,gagaso\t-a 1\t-nsa\tgaʔni\t-V\t-ta 4\t-nni 1
XV000317,sid,kʼaakʼkʼuubu ʔamansanna ʔannansa gede ʔikkitanno,kʼaakʼkʼuub\t-u\tʔam\t-a\t-nsa\t-nna\tʔanna\t-nsa\tged\t-e\tʔikk\t-i\t-tanno,baby (plural)\tNOM.U\tmother\tGEN\t3PL.POSS\tand\tfather\t3PL.POSS\tlikeness\tACC\tbecome\tEV\tPST.IMPF.3T,Children behave like their mother and father,,,I 33-6,,SN000978,n\tn:Any\tn\tn:Any\tPronoun\tconjunction\tn\tPronoun\tn\tn:Any\tv\tAttaches to any category\tv:Any,kʼaakʼkʼuba\t-u 3\tʔama\t-a 6\t-nsa\t-nna 1\tʔanna\t-nsa\tgede 2\t-e 2\tʔikki 1\t-V\t-tanno 2
XV000318,sid,konni ʧʼoira dae kaaʔlannonke gede halʧoommo,konn\t-i\tʧʼo\t-i\t-ra\tda\t-e\tkaaʔl\t-anno\t-nke\tged\t-e\thalʧ\t-oommo,this\tOBL\tmatter\tOBL\tDAT\tcome\tCVB.3SG\thelp\tIMPF.3K\t1PL.ACC/DAT\tin_order_to\tACC\twish\tPST.IMPF.1M,I want him to come and help us with this matter,,,II 21-6,,SN000980,pro\tn:Any\tn\tn:Any\tcase\tv\tv:Any\tv\tv:Any\tPronoun\tsubordinator\tn:Any\tn\tv:Any,konne 2\t-i 1\tʧʼoe\t-i 1\t-ra 1\tdaí\t-e 1\tkaaʔli\t-anno\t-nke 2\tgede 4\t-e 2\thalʧo\t-oommo
XV000319,sid,konnira gedensaanni,konn\t-i\t-ra\tgedensa\t-a\t-nni,this\tOBL\tDAT\tlater\tEV\tABL,after this,,,I 23-5,,SN000983,pro\tn:Any\tcase\tadverbial\tAttaches to any category\tcase,konne 2\t-i 1\t-ra 1\tgedensa\t-V\t-nni 1
XV000320,sid,badala gamba ʔassittohu gedensanni ma ʔassatto?,badal\t-a\tgamba ʔass\t-itto\t-hu\tgedensaanni\tma\tʔass\t-atto\t?,maize\tACC\tgather_(tr)\tPRF.2M\tNR.K.GEN\tafter\twhat\tdo\tIMPF.2M\t,What do you do after you have collected the maize?,,,II 9-9,,SN000983,n\tn:Any\tv\tv:Any\tv>n\tadverbial\tpro\tv\tv:Any\t,badala\t-a 1\tgamba ʔassi\t-itto\t-hu\tgedensaanni\tma\tʔassi\t-atto\t
XV000321,sid,gedensaanni ʔanninsa kapʼpʼu dudubo ʔammananno gede ʔassite ʔammansiissu,gedensaanni\tʔann\t-i\t-nsa\tkapʼpʼ\t-u\tdudub\t-o\tʔamman\t-anno\tged\t-e\tʔass\t-i\t-te\tʔamman\t-siis\t-tu,later\tfather\tNOM.MOD\t3PL.POSS\tlie\tGEN.U\tnews\tACC\tbelieve\tIMPF.3K\tin_order_to\tACC\tdo\tEV\tCVB.3T\tbelieve\tCAUS\tPRF.3T,Afterwards they made their father believe a lie,,,III 44-8,,SN000984,adverbial\tn\tn:Any\tPronoun\tn\tn:Any\tn\tn:Any\tv\tv:Any\tsubordinator\tn:Any\tv\tAttaches to any category\tv:Any\tv\tv:Any\tv:Any,gedensaanni\tʔanna\t-i 3\t-nsa\tkapʼpʼo\t-u 4\tdudubo\t-o 1\tʔammani\t-anno\tgede 4\t-e 2\tʔassi\t-V\t-te 3\tʔammani\t-is\t-tu 2
XV000322,sid,geedote heeʃʃo,geed\t-o\t-te\theeʃʃ\t-o,long_time\tOBL\tOBL.U\tlife\tACC,Longlasting life,,,XXII 36-9,,SN000991,n\tn:Any\tv:Any\tn\tn:Any,geedo\t-o 3\t-te 7\theeʃʃo\t-o 1
XV000323,sid,manʧu kuni ma yore geekʼannoʔe?,manʧ\t-u\tkun\t-i\tma\tyor\t-e\tgeekʼ\t-anno\t-ʔe\t?,man\tNOM.U\tthis\tNOM.MOD\twhat\tdesire\tCVB.3K\tstare\tIMPF.3K\t1SG.ACC/DAT\t,"This man, what wanting, is starring at me?",,,X 2-29,,SN000994,n\tn:Any\tpro\tn:Any\tpro\tv\tv:Any\tv\tv:Any\tPronoun\t,manʧo\t-u 3\tkonne 2\t-i 3\tma\tyori\t-e 3\tgeekʼi\t-anno\t-ʔe\t
XV000324,sid,hakkuri rosiisaasine geerrootaho,hakkuri\trosiisaasin\t-e\tgeerroot\t-a\t-ho,those\tteacher (Plural)\tNOM\told_people\tACC\tNOM,Those teachers are old people,,,III 26-5,,SN000997,pro\tn\tn:Any\tn\tn:Any\tn:Any,hakkuri\trosiisaasine\t-e 4\tgeerroota\t-a 1\t-ho 3
XV000325,sid,ʔisi dae wotʼe ʔaaʔe geeʃʃa ʔagaɗɗeemmo,ʔis\t-i\tda\t-e\twotʼ\t-e\tʔaa\t-ʔe\tgeeʃʃ\t-a\tʔagaɗɗ\t-eemmo,3K\tNOM\tcome\tCVB.3K\tmoney\tACC\tgive\t1SG.ACC/DAT\tuntil\tACC\twait\tIMPF.1SG.M,I wait until he comes and gives me money,,,IV 20-4,,SN001002,pro\tn:Any\tv\tv:Any\tn\tn:Any\tv\tPronoun\tn\tn:Any\tv\tv:Any,ʔise 2\t-i 5\tdaí\t-e 3\twotʼe\t-e 2\tʔaa\t-ʔe\tgeeʃʃa 3\t-a 1\tʔagaɗɗi\t-eemmo
XV000326,sid,woʃʃaddansa dartanno geeʃʃita lobo kʼultʼuʔme ʔamaddu,woʃʃaadd\t-a\t-nsa\tdar\t-tanno\tgeeʃʃ\t-i\t-ta\tlob\t-o\tkʼultʼuʔm\t-e\tʔamad\t-tu,nets\tNOM\t3PL.POSS\tcrack\tPST.IMPF.3T\tuntil\tOBL\tNR.T.ACC\tmuch\tACC\tfish\tACC\tcatch\t3SG.T,They caught so much fish that their nets were torn,,,IX 30-6,,SN001004,n\tn:Any\tPronoun\tv\tv:Any\tn\tn:Any\tv>n\tadjective\tn:Any\tn\tn:Any\tv\ttam,woʃʃaadda\t-a 5\t-nsa\tdari\t-tanno 2\tgeeʃʃa 3\t-i 1\t-ta 1\tlobo\t-o 1\tkʼultʼuʔme\t-e 2\tʔamadi\t-tu 1
XV000327,sid,ʔankaro gotʼummokki gale geleeloommo,ʔankarr\t-o\tgotʼ\t-ummo\t-kki\tgal\t-e\tgeleel\t-oommo,last_night\tACC\tsleep\tPRF.1M\tnot\tspend_the_night\tCVB.1SG\tbe_sleepless\tPST.IMPF.1M,Last night I spent without sleep,,,X 2-31,,SN001005,n\tn:Any\tv\tv:Any\tnegativizer\tv\tv:Any\tv\tv:Any,ʔankarro\t-o 1\tgotʼi\t-ummo\t-kki 1\tgali\t-e 1\tgeleeli\t-oommo
XV000328,sid,sidaamu gobbara lobo manni geɗeebu maala ʔitanno,sidaam\t-u\tgobba\t-ra\tlob\t-o\tmann\t-i\tgeɗeeb\t-u\tmaal\t-a\tʔit\t-anno,a_resident_of_Sidaama\tGEN.U\tland\tDAT\tmany\tNOM\tpeople\tGEN.MOD\tsheep_(pl)\tGEN.U\tmeat\tACC\teat\tIMPF.3K,In Sidamo many people eat mutton,,,I 21-2,,SN001006,n\tn:Any\tn\tcase\tadjective\tn:Any\tn\tn:Any\tn\tn:Any\tn\tn:Any\tv\tv:Any,sidaama\t-u 4\tgobba\t-ra 1\tlobo\t-o 2\tmanna\t-i 4\tgereebo\t-u 4\tmaala\t-a 1\tʔiti\t-anno
XV000329,sid,geɗeʧʧo haisso ʔittanno,geɗeʧʧ\t-o\thaiss\t-o\tʔit\t-tanno,sheep_(sg)\tNOM\tgrass\tACC\teat\tPST.IMPF.3T,A sheep eats grass,,,III 51-6,,SN001008,n\tn:Any\tn\tn:Any\tv\tv:Any,gereʧʧo\t-o 2\thaisso\t-o 1\tʔiti\t-tanno 2
XV000330,sid,geʔʔino ʔado,geʔ\t-tino\tʔad\t-o,become_sour\tPST.IMPF.3T\tmilk\tACC,milk which has become (a little) sour,,,III 2-6,,SN001010,v\ttam\tn\tn:Any,geʔi\t-tino\tʔado\t-o 1
XV000331,sid,lammisora saʔa kʼaltenna geʔinto haikkisinonke,lammiso\t-ra\tsaʔ\t-a\tkʼal\t-te\t-nna\tgeʔint\t-o\thaikkis\t-ino\t-nke,name_of_man\tDAT\tcow\tNOM\tbear_a_calf\tCVB.3T\tand\tcolostrum\tACC\tgive_to_drink\tPST.IMPF.3K\t1PL.ACC/DAT,"A cow of Lamiso´s has got a calf, and he gave us colostrum (""raw milk"") to drink",,,IV 16-4,,SN001011,proper noun\tcase\tn\tn:Any\tv\tv:Any\tconjunction\tn\tn:Any\tv\tv:Any\tPronoun,lammiso\t-ra 1\tsaʔa\t-a 5\tkʼali\t-te 3\t-nna 1\tgeʔinto\t-o 1\thaikkisi\t-ino\t-nke 2
XV000332,sid,ʔise manʧotenni geʔintote,ʔis\t-e\tmanʧ\t-o\t-te\t-nni\tgeʔint\t-o\t-te,3T\tNOM\twoman\tOBL\tOBL.U\tABL\tsour_milk\tACC\tCOP,She is the most clever among the women (lit. She is sour milk ..,,,IV 16-6,,SN001013,pro\tn:Any\tn\tn:Any\tv:Any\tcase\tn\tn:Any\tcopula,ʔise 1\t-e 4\tmanʧo\t-o 3\t-te 7\t-nni 1\tgeʔinto\t-o 1\t-te 2
XV000333,sid,mini manni giira gibaaɗanni no,min\t-i\tmann\t-i\tgiir\t-a\tgibaaɗ\t-a\t-nni\tno,house\tOBL\tpeople\tGEN.MOD\tburn_(tr)\tACC\twarm_oneself\tPART.3K\tABL\texist,The family are warming themselves at the fire,,,I 43-1,,SN001014,n\tn:Any\tn\tn:Any\tv\tn:Any\tv\tv:Any\tcase\tv,mine\t-i 1\tmanna\t-i 4\tgiiri\t-a 1\tgibaaɗi\t-a 3\t-nni 1\tno
XV000334,sid,"ʔisii ledo gibama gibe, beebummo","ʔise\t-i\tled\t-o\tgibam\t-a\tgib\t-e\t,\tbeeb\t-ummo",3K\tGEN\tpartaker\tACC\tquarrel\tACC\trefuse\tCVB.1SG\t\tkeep_quiet\tPRF.1M,"Having had a quarrel with him, I kept quiet",,,II 28-2,,SN001015,pro\tn:Any\tn\tn:Any\tn\tn:Any\tv\tv:Any\t\tv\tv:Any,ʔise 2\t-i 4\tledo 2\t-o 1\tgibama\t-a 1\tgibi\t-e 1\t\tbeebi\t-ummo
XV000335,sid,gibbo heeɗahera dandaanno,gibb\t-o\theeɗ\t-a\t-he\t-ra\tdandi\t-a\t-anno,quarrel\tACC\texist\tPINF.3K\t2SG.ACC/DAT\tDAT\tbe_able_to\tEV\tIMPF.3K,You may encounter quarrels,,,III 38-2,,SN001019,n\tn:Any\tv\tv:Any\tPronoun\tcase\tv\tAttaches to any category\tv:Any,gibbo\t-o 1\theeɗi\t-a 8\t-he\t-ra 1\tdandíí\t-V\t-anno
XV000336,sid,ʔuge gaʔnitara gibbe tʼookʼkʼe haɗɗu,ʔug\t-e\tgaʔn\t-i\t-ta\t-ra\tgib\t-be\ttʼookʼ\t-ke\thaɗ\t-ɗu,a_certain_game\tACC\tplay_(certain_games)\tEV\tPINF.3T\tDAT\trefuse\tCVB.3T\tflee\tCVB.3K\tgo\tPRF.3T,"She refused, and ran away to play uge",,,I 45-4,,SN001020,n\tn:Any\tv\tAttaches to any category\tv:Any\tcase\tv\tv:Any\tv\tv:Any\tv\tv:Any,ʔuge\t-e 2\tgaʔni\t-V\t-ta 4\t-ra 1\tgibi\t-te 3\ttʼookʼi\t-te 3\thaɗi\t-tu 2
XV000337,sid,gibbusi,gib\t-tu\t-si,hate\tPRF.3T\t3K.ACC/DAT,They hated him,,,III 44-5,,SN001020,v\tv:Any\tn:Any,gibi\t-tu 2\t-si 2
XV000338,sid,heeʃʃose giddo giddeessitanno wolkʼa galtinose,heeʃʃ\t-o\t-se\tgidd\t-o\tgiddeess\t-i\t-tanno\twolkʼ\t-a\tgal\t-tino\t-se,life\tGEN\t3T.POSS\tinside\tACC\tcompel\tEV\tPST.IMPF.3T\tpower\tNOM\tenter\tPST.IMPF.3T\t3T.ACC/DAT,A compelling force had entered into her life,,,VIII 5-5,,SN001024,n\tn:Any\tpro\tn\tn:Any\tv\tAttaches to any category\tv:Any\tn\tn:Any\tv\ttam\tPronoun,heeʃʃo\t-o 5\t-se\tgiddo 2\t-o 1\tgiddessi\t-V\t-tanno 2\twolkʼa\t-a 5\tgali\t-tino\t-se
XV000339,sid,tenne lamala giddo dikko dihaɗeemmo,tenne\tlamal\t-a\tgidd\t-o\tdikk\t-o\tdi=\thaɗ\t-eemmo,this\tweek\tGEN.MOD\tinside\tACC\tmarket\tACC\tNEG=\tgo\tIMPF.1SG.M,This week I will not go to market,,,I 24-3,,SN001029,pro\tn\tn:Any\tn\tn:Any\tn\tn:Any\tprefix\tv\tv:Any,tenne\tlamala 1\t-a 6\tgiddo 2\t-o 1\tdikko\t-o 1\tdi=\thaɗi\t-eemmo
XV000340,sid,giddo ʃafinʧo hunda hunda kʼasse woɗɗitanno,gidd\t-o\tʃafinʧ\t-o\thund\t-a\thund\t-a\tkʼas\t-te\twoɗɗ\t-i\t-tanno,inside\tACC\tsplit_and_scratched_leaves\tACC\tthe_lower_part\tACC\tthe_lower_part\tACC\tpierce\tCVB.3T\tplace\tEV\tPST.IMPF.3T,"Inside she puts a split leaf under, and lays it down",,,VII 6-16,,SN001030,n\tn:Any\tn\tn:Any\tn\tn:Any\tn\tn:Any\tv\tv:Any\tv\tAttaches to any category\tv:Any,giddo 2\t-o 1\tʃafinʧo\t-o 1\thunda\t-a 1\thunda\t-a 1\tkʼasi\t-te 3\twoɗɗi\t-V\t-tanno 2
XV000341,sid,ʃafina giddoiidiha hiikʼkʼinsai ...,ʃafin\t-a\tgiddoiid\t-i\t-ha\thiikʼkʼis\t-nai\t...,split_and_scratched_leaves\tACC\tinner\tOBL\tNR.K.ACC\tcause_to_break\tIMPF.US\t,Beaking the inner scattered leaves ...,,,VII 6-12,,SN001031,n\tn:Any\tadjective\tn:Any\tv>n\tv\tv:Any\t,ʃafinʧo\t-a 1\tgiddoiidi\t-i 1\t-ha\thiikʼkʼisi\t-nanni\t
XV000342,sid,gide gaʔneemmo,gid\t-e\tgaʔn\t-eemmo,grain\tACC\tbeat\tIMPF.1SG.M,I am threshing the grain,,,II 16-10,,SN001035,n\tn:Any\tv\tv:Any,gide\t-e 2\tgaʔni\t-eemmo
XV000343,sid,"laʔʔe, bunu giggilanni no!","laʔ\t-e\t,\tbun\t-u\tgiggil\t-a\t-nni\tno\t!",see\tIMP.PL\t\tcoffee\tNOM.U\tfall_down\tPART\tABL\texist\t,"Look (you pl.), the coffee is falling down!",,,X 1-19,,SN001036,v\tv:Any\t\tn\tn:Any\tv\tv:Any\tcase\tv\t,laʔi\t-e 6\t\tbuna\t-u 3\tgiggili\t-a 7\t-nni 1\tno\t
XV000344,sid,hoolo tʼarra ʔittinona mine konne giggiʃʃine loonso,hool\t-o\ttʼarr\t-a\tʔit\t-tino\t-na\tmin\t-e\tkonn\t-e\tgiggiʃʃ\t-i\t-ne\tloos\t-no,termites\tNOM\twall\tACC\teat\tPST.IMPF.3T\tand therefore\thouse\tACC\tthis\tACC\ttear_down\tEV\tCVB.1PL\twork\tJUSS.1PL,"Ants have eaten the wall, therefore let´s (partly) tear the house down and (re-)build it",,,III 54A-4,,SN001038,n\tn:Any\tn\tn:Any\tv\ttam\tconjunction\tn\tn:Any\tpro\tn:Any\tv\tAttaches to any category\tv:Any\tn\tv:Any,hoolo\t-o 2\ttʼarra\t-a 1\tʔiti\t-tino\t-na 1\tmine\t-e 2\tkonne 2\t-e 2\tgiggiʃʃi\t-V\t-ne 2\tlooso\t-no 4
XV000345,sid,tʼeena giggiʃʃanni no,tʼeen\t-a\tgiggiʃʃ\t-a\t-nni\tno,rain\tACC\tdrizzle\tPART.3K\tABL\texist,The rain is drizzling,,,IX 3-45,,SN001040,n\tn:Any\tv\tv:Any\tcase\tv,tʼeena\t-a 1\tgiggiʃʃi\t-a 3\t-nni 1\tno
XV000346,sid,mini manni giirate mule ʔofollino,min\t-i\tmann\t-i\tgiira\t-te\tmul\t-e\tʔofoll\t-ino,house\tOBL\tpeople\tGEN.MOD\tfire\tGEN.U\tproximity\tACC\tsit_down\tPST.IMPF.3K,The family is sitting by the fire,,,I 43-1,,SN001045,n\tn:Any\tn\tn:Any\tn\tcase\tn\tn:Any\tv\tv:Any,mine\t-i 1\tmanna\t-i 4\tgiira\t-te 4\tmule 1\t-e 2\tʔofolli\t-ino
XV000347,sid,kuuʔu ʃiimu mini bero giiramino,kuuʔ\t-u\tʃiim\t-u\tmin\t-i\tber\t-o\tgiiram\t-ino,\tNOM.U\tsmall\tOBL.U\thouse\tOBL\tyesterday\tACC\tburn_(itr)\tPST.IMPF.3K,That small house burnt down yesterday,,,III 19-4,,SN001046,\tn:Any\tadjective\tn:Any\tn\tn:Any\tn\tn:Any\tv\tv:Any,\t-u 3\tʃiima\t-u 1\tmine\t-i 1\tbero\t-o 1\tgiirami\t-ino
XV000348,sid,gobbara fule hii ye wiiʔli,gobba\t-ra\tful\t-e\thii y\t-e\twiiʔl\t-i,country\tDAT\tgo_out\tCVB.3K\tcry\tCVB.3K\tcry\tPRF.3K,He went outside and cried,,,IX 8-62,,SN001056,n\tcase\tv\tv:Any\tv\tv:Any\tv\tv:Any,gobba\t-ra 1\tfuli\t-e 3\thii yi\t-e 3\twiʔli\t-í
XV000349,sid,katamu gobbaadi geeʃʃa,katam\t-u\tgobbaad\t-i\tgeeʃʃ\t-a,town\tNOM.U\texternal\tGEN.MOD\tuntil\tACC,To the outskirts of the city …,,,XX 35-5,,SN001061,n\tn:Any\tn\tn:Any\tn\tn:Any,katama\t-u 3\tgobbaado\t-i 4\tgeeʃʃa 3\t-a 1
XV000350,sid,ʔinsara godoba hosanno gede ...,ʔinsa\t-ra\tgodob\t-a\thos\t-anno\tged\t-e\t...,3PL\tDAT\tstomach\tACC\tspend_the_day\tIMPF.3K\tin_order_to\tACC\t,that he should be biased towards them ...,,,XIII 48-7,,SN001070,pro\tcase\tn\tn:Any\tv\tv:Any\tsubordinator\tn:Any\t,ʔinsa\t-ra 1\tgodoba\t-a 1\thosi\t-anno\tgede 4\t-e 2\t
XV000351,sid,godobiinni noo manʧo ledo heeɗe ...,godob\t-i\t-i\t-nni\tno\t-o\tmanʧ\t-o\tled\t-o\theeɗ\t-e\t...,stomach\tOBL\tEV\tABL\texist\tEV\twoman\tGEN.MOD\tpartaker\tACC\tlive\tACC\t,(He) having been (sexually) together with a pregnant woman ...,,,V 2-2,,SN001071,n\tn:Any\tAttaches to any category\tcase\tv\tAttaches to any category\tn\tn:Any\tn\tn:Any\tv\tn:Any\t,godoba\t-i 1\t-V\t-nni 1\tno\t-V\tmanʧo\t-o 5\tledo 2\t-o 1\theeɗi\t-e 2\t
XV000352,sid,ʔisera godobu gateenna ...,ʔise\t-ra\tgodob\t-u\tgat\t-e\t-e\t-nna\t...,3T\tDAT\tstomach\tNOM.U\tremain\tCVB.3K\tEV\tNS\t,As she is pregnant ...,,,Lk. 1.25.,,SN001073,pro\tcase\tn\tn:Any\tv\tv:Any\tAttaches to any category\tv:Any\t,ʔise 1\t-ra 1\tgodoba\t-u 3\tgati\t-e 3\t-V\t-nna 4\t
XV000353,sid,godolle godoʔlanni no (godoʔle?),godoll\t-e\tgodoʔl\t-a\t-nni\tno,game\tACC\tplay\tPART.3K\tABL\texist,He is playing a game,,,II 24-1,,SN001074,n\tn:Any\tv\tv:Any\tcase\tv,godolle\t-e 2\tgodoʔli\t-a 3\t-nni 1\tno
XV000354,sid,konne godoʔle ʔamandummoro ...,konn\t-e\tgodoʔl\t-e\tʔamand\t-ummo\t-ro\t...,this\tACC\tplay\tACC\tbegin\tPRF.1M\tCOND\t,If we begin with these plays ...,,,VII 1-6,,SN001074 ; SN003633,pro\tn:Any\tn\tn:Any\tv\tv:Any\tsubordinator\t,konne 2\t-e 2\tgodoʔle\t-e 2\tʔamadi\t-ummo\t-ro\t
XV000355,sid,tini godoʔle hagiɗsissannoʔe,tin\t-i\tgodoʔl\t-e\thagiɗsiis\t-tanno\t-ʔe,this\tNOM\tplay\tNOM\tmake_happy\tPST.IMPF.3T\t1SG.ACC/DAT,This play makes me happy,,,IV 14-3,,SN001074,pro\tn:Any\tn\tn:Any\tv\tv:Any\tPronoun,tini\t-i 5\tgodoʔle\t-e 4\thagirsiisi\t-tanno 2\t-ʔe
XV000356,sid,ʔooso nafara godoʔlitanni no,ʔoos\t-o\tnafar\t-a\tgodoʔl\t-i\t-ta\t-nni\tno,children\tNOM\tarea_in_front_of_the_door\tACC\tplay\tEV\tPART\tABL\texist,The children are playing in front of the house,,,I 42-8,,SN001078,n\tn:Any\tn\tn:Any\tn\tAttaches to any category\tv:Any\tcase\tv,ʔooso\t-o 2\tnafara\t-a 1\tgodoʔle\t-V\t-ta 3\t-nni 1\tno
XV000357,sid,kaase godoʔlino,kaas\t-e\tgodoʔl\t-i\t-no,ball\tACC\tplay\tEV\tJUSS.1PL,Let´s play ball,,,II 16-7,,SN001078 ; SN001637,n\tn:Any\tv\tAttaches to any category\tv:Any,kaase\t-e 2\tgodoʔli\t-V\t-no 4
XV000358,sid,ʔanninke weese kaansanniba goire loonsanniba kaaʔlineemmo,ʔann\t-i\t-nke\twees\t-e\tkaas\t-nanni\t-ba\tgoir\t-e\tloos\t-nanni\t-ba\tkaaʔl\t-i\t-neemmo,father\tNOM.MOD\t1PL.POSS\tensete_palms\tACC\tplant\tIMPF.US\tDAT\tfield_for_wheat\tACC\twork\tIMPF.US\tDAT\thelp\tEV\tIMPF.1PL,"We help our father where he plants ensete palms, where one works 'goire'",,,VII 2-19,,SN001087,n\tn:Any\tPronoun\tn\tn:Any\tv\tv:Any\tcase\tn\tn:Any\tv\tv:Any\tcase\tv\tAttaches to any category\tv:Any,ʔanna\t-i 3\t-nke 2\tweese\t-e 2\tkaasi\t-nanni\t-ba\tgoire\t-e 2\tloosi\t-nanni\t-ba\tkaaʔli\t-V\t-neemmo 2
XV000359,sid,hakku golira wori,hakk\t-u\tgol\t-i\t-ra\twor\t-i,that_(medial)\tNOM.U\tfirewood-place\tOBL\tDAT\tput\tIMP.SG,Put it in that firewood shed,,,XXII 5-6,,SN001088,pro\tn:Any\tn\tn:Any\tcase\tv\tv:Any,hakko\t-u 3\tgolo\t-i 1\t-ra 1\twori\t-i 2
XV000360,sid,ʔangakki golinke,ʔang\t-a\t-kki\tgol\t-i\t-nke,hand\tACC\t2SG.POSS\tguard\tIMP.SG\t1PL.ACC/DAT,Guard us with your hand,,,X 2-34,,SN001092,n\tn:Any\tPronoun\tv\tv:Any\tPronoun,ʔanga\t-a 1\t-kki 2\tgoli\t-i 2\t-nke 2
XV000361,sid,tuukʼo golu ʔaana worre,tuukʼ\t-o\tgol\t-u\tʔaan\t-a\twor\t-re,pillar\tACC\tfirewood-place\tGEN.U\ttopside\tACC\tput\tIMP.PL,Put (pl.) the supporter on the firewood-place,,,III 54-1,,SN001095,n\tn:Any\tn\tn:Any\tn\tn:Any\tv\tv:Any,tuukʼi\t-o 1\tgolo\t-u 4\tʔaana 1\t-a 1\twori\t-re 3
XV000362,sid,gordu gomiʧʧanni no,gord\t-u\tgomiʧʧ\t-a\t-nni\tno,heaven\tNOM.U\tget_cloudy\tPART.3K\tABL\texist,The sky is getting cloudy,,,X 2-35,,SN001099,n\tn:Any\tv\tv:Any\tcase\tv,gordo\t-u 3\tgomiʧʧi\t-a 3\t-nni 1\tno
XV000363,sid,gomiʧʧu beeʃʃe laʔʔannota hooʔlinsa,gomiʧʧ\t-u\tbeeʃʃ\t-e\tlaʔ\t-tanno\t-ta\thooʔl\t-i\t-nsa,cloud\tNOM.U\tcover\tCVB.3K\tsee\tPST.IMPF.3T\tNR.T.ACC\tprevent_for_oneself\tPRF.3K\t3PL.ACC/DAT,A cloud prevented them from seeing him,,,XIII 3-4,,SN001100,n\tn:Any\tv\tv:Any\tv\tv:Any\tv>n\tv\tv:Any\tPronoun,gomiʧʧo\t-u 3\tbeeʃʃi\t-e 3\tlaʔi\t-tanno 2\t-ta 1\thooʔli\t-í\t-nsa
XV000364,sid,gondoru ʔaresi batʼanno,gondoor\t-u\tʔaree\t-si\tbatʼ\t-anno,covenant\tNOM.U\twife\t3K.POSS\tlove\tIMPF.3K,He loves his legal (lit. 'contract') wife,,,III 11-5,,SN001101,n\tn:Any\tn\tPronoun\tv\tv:Any,gondooro\t-u 3\tʔaree\t-si 1\tbatʼi\t-anno
XV000365,sid,massite ʧʼukkite gongaho ...,mass\t-i\t-te\tʧʼukk\t-i\t-te\tgonga\t-ho\t...,take\tEV\tCVB.3T\tknead\tEV\tCVB.3T\tpiece_of_wood\tDAT.U\t,"Taking it there, and having knead it on wooden plate ...",,,VII 8-2,,SN001104,v\tAttaches to any category\tv:Any\tv\tAttaches to any category\tv:Any\tn\tcase\t,massi\t-V\t-te 3\tʧʼukki\t-V\t-te 3\tgonga\t-ho 1\t
XV000366,sid,ʔulla ʔaana tuge gongomʃannosi,ʔull\t-a\tʔaan\t-a\ttug\t-e\tgongomʃ\t-anno\t-si,ground\tACC\ttopside\tACC\tthrow\tCVB.3K\tcause_to_roll\tIMPF.3K\t3K.ACC/DAT,He throws him to the ground and makes him tumble over,,,XIV 22-39,,SN001106,n\tn:Any\tn\tn:Any\tv\tv:Any\tv\tv:Any\tn:Any,ʔuulla\t-a 1\tʔaana 1\t-a 1\ttugi\t-e 3\tgongomʃi\t-anno\t-si 2
XV000367,sid,gooɗisinoʔe ??? ɲB! ʤfr. neste entry,gooɗis\t-ino\t-ʔe,be_thirsty\tPST.IMPF.3K\t1SG.ACC/DAT,I am thirsty for water,,,XXII 14-5,,SN001113,v\tv:Any\tPronoun,gooɗisi\t-ino\t-ʔe
XV000368,sid,bunu gooɗo ʔamaddinoʔe,bun\t-u\tgooɗ\t-o\tʔamad\t-tino\t-ʔe,coffee\tGEN.U\tthirst_for_coffee_or_water\tNOM\tcatch\tPST.IMPF.3T\t1SG.ACC/DAT,I am thirsty for coffee,,,XXII 14-5,,SN001114,n\tn:Any\tn\tn:Any\tv\ttam\tPronoun,buna\t-u 4\tgooɗo\t-o 2\tʔamadi\t-tino\t-ʔe
XV000369,sid,gooɗisinoʔe,gooɗis\t-ino\t-ʔe,be_thirsty\tPST.IMPF.3K\t1SG.ACC/DAT,I am thirsty for water,,,XXII 14-5,,SN001114,v\tv:Any\tPronoun,gooɗisi\t-ino\t-ʔe
XV000370,sid,sagale gooffino,sagal\t-e\tgoof\t-tino,food\tNOM\tcome_to_an_end\tPST.IMPF.3T,The food is used up,,,IV 40-1,,SN001115,n\tn:Any\tv\ttam,sagale\t-e 4\tgoofi\t-tino
XV000371,sid,googa daddabanno,goog\t-a\tdaddab\t-anno,skin\tACC\tstretch_out\tIMPF.3K,He stretces out the skin,,,II 31-12,,SN001117,n\tn:Any\tv\tv:Any,googa\t-a 1\tdaddabi\t-anno
XV000372,sid,meʔe gooranʧa ʔeessi,meʔ\t-e\tgooranʧ\t-a\tʔeess\t-i,goat\tACC\tgoat roam\tACC\tput in\tIMP.SG,Lead the goats into their room,,,I 43A-3,,SN001118,n\tn:Any\tn\tn:Any\tv\tv:Any,meʔe 1\t-e 2\tgoorancha\t-a 1\tʔeessi\t-i 2
