ID,Language_ID,Headword,Part_Of_Speech,Construction,Entry_IDs,Etymology,Gloss,Morpheme_Breaks,Morphological_Structure,Official_Orthography,Type,Variant_Form
LX000442,sid,gibaaɗi,Verb,,,,,,,giwaa’ri,,
gibama,sid,gibama,Noun,,,,quarrel-INF,gibam-a,gibam-a (INF=N),giwama,T (FEM),
gibami,sid,gibami,Verb,,,,refuse-PAS-,gib-am-,gib-am (PAS)-,giwami,PAS,
LX000443,sid,gibanʃo,Noun,,,,quarrel-ABSTR,gibam-ʃo,gibam-So (ABSTR),giwansho,T (FEM),
gibbe,sid,gibbe,Noun,,,Amharic gïbbi 'fenced compound',,,,gibbe,T (FEM),
gibbo,sid,gibbo,Noun,,,,refuse-ABSTR,gib-bo,gib-bo (ABSTR),gibbo,T (FEM),
gibi,sid,gibi,Verb,,,,,,,giwi,,
gibire,sid,gibire,Noun,,,Amharic gïbïr 'tax',,,,giwire,K (MASC),
LX000444,sid,gibisiɗi,Verb,,,,refuse-CAUS-AB-,gib-is-iɗ-,gib-is (CAUS)-iD (AB)-,giwisi’ri,AB,
giddessi,sid,giddessi,Verb,,,Amharic gïdd 'coercion',climb-DER.CAUS-,gidd-ess-,gidd-ess (DER.CAUS)-,giddessi,CAUS,
giddi_1,sid,giddi,Verb,,,,,,,giddi,,
giddi_2,sid,giddi,postposition,,,,,,,giddi,,
giddisiisi,sid,giddisiisi,Verb,,,,climb-CAUS-,gidd-isiis-,gidd-isiis (CAUS)-,giddisiisi,CAUS,
LX000445,sid,giddiʧʧo,Noun,,,,inside-SGLT,gidd(o)-iʧʧo,gidd(o)-icco (SGLT),giddichcho,T (FEM),
giddo_1,sid,giddo,adverbial,,,,,ɲ-GEɲ giddo,,giddo,T (FEM),
giddo_2,sid,giddo,Noun,,,,,,,giddo,T (FEM),
giddoiidi,sid,giddoiidi,adjective,,,,inside-DER.A,giddo-iidi,giddo-iidi (DER.A),giddoyiidi,,
giddoiido,sid,giddoiido,adverbial,,,,inner-DER.N,ɲ-GEɲ giddoiid(i)-o,giddoiid(i)-o (DER.N),giddoyiido,,
giddonni,sid,giddonni,adverbial,,,,N-GEN inside-ABL,ɲ-GEɲ giddo-nni,N-GEN giddo-nni (ABL),giddonni,,
giddora,sid,giddora,adverbial,,,,N-GEN inside-DAT,ɲ-GEɲ giddo-ra,N-GEN giddo-ra (DAT),giddora,,
gide,sid,gide,Noun,,,,,,,gide,K (MASC),
giggili,sid,giggili,Verb,,,,,,,giggili,,
giggilo,sid,giggilo,Noun,,,,,,,giggilo,K (MASC),
LX000446,sid,giggiʃʃi,Verb,,,,fall.down.because.it.is.ripe-CAUS,giggil-s-,giggil-s (CAUS)-,giggishshi,CAUS ; CAUS ; CAUS,
LX000447,sid,giggiʃʃiɗi,Verb,,,,tear.down.part.of.a.house.in.order.to.renew.it-AB-,giggiʃʃ-iɗ-,giggiSS-iD (AB)-,giggishshi’ri,AB ; AB,
LX000448,sid,giiɗɗi,Verb,,,,burn-AB-,giir-ɗ-,giir-D (AB)-,giidhi,AB,
giira,sid,giira,Noun,,,,,,,giira,T (FEM),
giirami,sid,giirami,Verb,,,,burn-PAS-,giir-am-,giir-am (PAS)-,giirami,PAS,
giiri,sid,giiri,Verb,,,,,,,giiri,,
gikkigikki,sid,gikkigikki,ideophone,,,,,,,gikkigikki,,
LX000449,sid,giliʃʃi,Verb,,,,,,,gilishshi,,
gimbi_yi,sid,gimbi yi,Verb,,,,IDEO say,gimbi y-,,gimbi yi,COMP,
ginboola,sid,ginboola,Noun,,,,,,,ginboola,K (MASC),
ginde,sid,ginde,Noun,,,,,,,ginde,K (MASC),
gingilaate,sid,gingilaate,Noun,,,,,,,gingilaate,T (FEM),
LX000450,sid,giɲɲiʃi,Verb,,,,,,,ginyishi,,
girgidda,sid,girgidda,Noun,,,Amharic gïdgïdda 'wall',,,,girgidda,K (MASC),
gobba,sid,gobba,Noun,,,,,,,gobba,T (FEM) ; T (FEM),
LX000451,sid,gobba baʔʔoo,Noun,,,,outside perish-JUS.3T,gobba baʔ-too,gobba bax-too (JUS.3T),gobba ba’oo,,
gobbaado,sid,gobbaado,Noun,,,,outside-DER,gobb(a)-aado,gobb(a)-aado (DER),gobbaado,K (MASC),
gobbaiido,sid,gobbaiido,adjective,,,,outside-DER,gobb(a)-iido,gobb(a)-iido (DER),gobbayiido,,
gobi,sid,gobi,Verb,,,,,,,gowi,,
goda,sid,goda,Noun,,,,,,,goda,K (MASC),
LX000452,sid,goddiɗi,Verb,,,,ascend-AB-,godd-iɗ-,godd-iD (AB)-,goddi’ri,AB,
godoba,sid,godoba,Noun,,,,,,,godowa,K (MASC),
godoba_fafi,sid,godoba fafi,Verb,,,,stomach-ACC be.distant,godow-a faf-,godow ('stomach')-a (ACC) faf ('be distant')-,godowa fafi,,
godobami,sid,godobami,Verb,,,,stomatch-DER.PAS-,godob(a)-am-,godob(a)-am (DER.PAS)-,godowami,PAS,
godobi,sid,godobi,Verb,,,,,,,godowi,,
LX000453,sid,godobinni heeɗi,Verb,,,,become.pregnant-OBL-ABL be,godob-i-nni heeɗ-,godob-i (OBL)-nni (ABL) heeD ('be')-,godowinni hee'ri,,
godobire,sid,godobire,adverbial,,,,become.pregnant-OBL-NR.PL,godob-i-re,godob-i (OBL)-re (NR.PL),godowire,,
godobu_gati,sid,godobu gati,Verb,,,,stomach-NOM remain,godob(a)-u gat-,godob(a)-u (NOM) gat ('remain')-,godowu gati,,
godolle,sid,godolle,Noun,,LX000454,,,,,godolle,K (MASC)/T (FEM),
godoodi,sid,godoodi,Verb,,,,,,,godoodi,,
LX000454,sid,godoʔle,Noun,,godolle,,,,,godo’le,K (MASC)/T (FEM),
LX000455,sid,godoʔli,Verb,,,,,,,godo’li,,
LX000456,sid,godoʔli,Noun,,,,,,,godo’li,,
LX000457,sid,goʤaamo,Noun,,,,,,,gojaamo,K (MASC),
LX000458,sid,goɗa,Noun,,,,,,,go’ra,T (FEM),
goggoolo,sid,goggoolo,Noun,,,,,,,goggoolo,K (MASC),
LX000459,sid,goggoʃami,Verb,,,,pick.up-PAS-,goggoʃ-am-,goggoS-am (PAS)-,goggoshami,PAS,
LX000460,sid,goggoʃi,Verb,,,,,,,goggoshi,,
gogolo,sid,gogolo,Noun,,,,,,,gogolo,K (MASC),
LX000461,sid,gogooʃima,Noun,,,,,,,gogooshima,K (MASC),
goire,sid,goire,Noun,,,,,,,goyire,T (FEM),
gola,sid,gola,Noun,,,,,,,gola,K (MASC),
golami,sid,golami,Verb,,,,catch.falling.object-PAS-,gol-am-,gol-am (PAS)-,golami,PAS,
golfa,sid,golfa,Noun,,,,,,,golfa,T (FEM),
golfe,sid,golfe,Noun,,,,,,,golfe,T (FEM),
goli,sid,goli,Verb,,,,,,,goli,,
golla,sid,golla,Noun,,,,fence-PL,gol(o)-la,gol(o)-la (PL),golla,K (MASC),
golo,sid,golo,Noun,,,,,,,golo,K (MASC) ; K (MASC),
gomaasi,sid,gomaasi,Verb,,,,,,,gomaasi,,
gombisami,sid,gombisami,Verb,,,,CRANB-PAS-,gombis-am-,gombis-am (PAS)-,gombisami,PAS,
LX000462,sid,gomiʧʧi,Verb,,,,,,,gomichchi,,
LX000463,sid,gomiʧʧo,Noun,,,,,,,gomichcho,K (MASC),
gondooro,sid,gondooro,Noun,,,,,,,gondooro,K (MASC),
gonfa,sid,gonfa,Noun,,,,,,,gonfa,K (MASC) ; K (MASC),
gonga,sid,gonga,Noun,,,,,,,gonga,K (MASC),
gongomi,sid,gongomi,Verb,,,,,,,gongomi,,
LX000464,sid,gongomʃi,Verb,,,,roll-CAUS-,gongom-s-,gongom-s (CAUS)-,gongomshi,CAUS,
LX000465,sid,gongoʔmi,Verb,,,,roll-AB-,gongom-ɗ-,gongom-D (AB)-,gongo’mi,AB,
LX000466,sid,gongoʔmiʃi,Verb,,,,roll-AB-CAUS-,gongom-ɗ-is-,gongom-D (AB)-is (CAUS)-,gongo’mishi,CAUS,
gooba,sid,gooba,Noun,,,,,,,goowa,K (MASC),
goobi,sid,goobi,Verb,,,,,,,goowi,,
goodane,sid,goodane,Noun,,,,,,,goodane,T (FEM),
LX000467,sid,gooɗ,Verb,,,,,,,,,
LX000468,sid,gooɗisi,Verb,,,,thirst.for.coffee.or.water-CAUS-,gooɗ(o)-is-,gooD(o)-is (CAUS)-,goo’risi,CAUS,
LX000469,sid,gooɗo,Noun,,,,,,,goo’ro,T (FEM),
goofi,sid,goofi,Verb,,,,,,,goofi,,
LX000470,sid,goofimarʧo,Noun,,,,come.to.an.end-OBL-CRANB,goof(o)-i-marʧo,goof(o)-i (OBL)-marco ('???'),goofimarcho,K (MASC),
googa,sid,googa,Noun,,,,,,,googa,K (MASC),
googide,sid,googide,Noun,,,,,,,googide,K (MASC),
goorancha,sid,goorancha,Noun,,,,,,,,,
gooro,sid,gooro,Noun,,,,,,,gooro,T (FEM) ; T (FEM),
gootaara,sid,gootaara,Noun,,,Amharic gotara 'barn',,,,gootaara,K (MASC),
gootaari,sid,gootaari,Verb,,,,,,,gootaari,,
LX000471,sid,gootʼanʧo,Noun,,,,CRANB-AG-SGLT,gootʼ(a)-aam-ʧo,gooT(a)-aam (DER.AGNT)-co (SGLT),gooxancho,K (MASC),
LX000472,sid,gooʔme,Noun,,,,,,,goo’me,T (FEM),
LX000473,sid,gopʼpʼi,Verb,,,,sew-AB-,gob-ɗ-,gob-D (AB)-,gophi,AB,
goraade,sid,goraade,Noun,,,,,,,goraade,T (FEM),
gordo,sid,gordo,Noun,,,,,,,gordo,K (MASC),
gorfa,sid,gorfa,Noun,,,,,,,gorfa,K (MASC),
gori,sid,gori,Verb,,,,,,,gori,,
gorori,sid,gorori,Verb,,,,,,,gorori,,
gorri,sid,gorri,Verb,,,,,,,gorri,,
gosa,sid,gosa,Noun,,,,,,,gosa,T (FEM),
gosee,sid,gosee,Noun,,,,,,,gosee,T (FEM),
LX000474,sid,goʃami,Verb,,,,uproot-PAS-,goʃ-am-,goS-am (PAS)-,goshami,PAS,
LX000475,sid,goʃatto,Noun,,,,uproot-DER,goʃ-atto,goS-atto (DER),goshatto,T (FEM),
LX000476,sid,goʃi,Verb,,,,,,,goshi,,
LX000477,sid,goʃooʃami,Verb,,,,uproot-REDUPL-PAS-,goʃ-ooʃ-am-,goS-ooS (REDUPL)-am (PAS)-,goshooshami,PAS,
LX000478,sid,goʃooʃi,Verb,,,,uproot-REDUPL-,goʃ-ooʃ-,goS-ooS (REDUPL)-,goshooshi,,
LX000479,sid,gotiiʧʧo,Noun,,,,hyenas-SGLT,got(o)-iiʧʧo,got(o)-iicco (SGLT),gotiichcho,K (MASC),
LX000480,sid,goʧʼo,Noun,,,,,,,goco,K (MASC),
LX000481,sid,gotti gotti ʔassi,Verb,,,,IDEO do,gotti gotti ʔass-,,gotti gotti assi,COMP,
gotti_yi,sid,gotti yi,Verb,,,,IDEO say,gotti y-,,gotti yi,COMP,
LX000482,sid,gotti ʔassi,Verb,,,,IDEO do,gotti ʔass-,,gotti assi,COMP,
LX000483,sid,gotʼa,Noun,,,,sleep-INF,gotʼ-a,goT-a (INF=N),goxa,T (FEM),
LX000484,sid,gotʼi,Verb,,,,,,,goxi,,
LX000485,sid,gotʼisi,Verb,,,,sleep-CAUS-,gotʼ-is-,goT-is (CAUS)-,goxisi,CAUS,
LX000486,sid,gotʼiʧʧo,Noun,,,,sleep-SGLT,gotʼ(a)-iʧʧo,goT(a)-icco (SGLT),goxichcho,K (MASC),
gowwa,sid,gowwa,Noun,,,,,,,gowwa,K (MASC),
gowwi,sid,gowwi,Verb,,,,,,,gowwi,,
gowwimma,sid,gowwimma,Noun,,,,become.foolish-ABSTR,goww-imma,goww-imma (ABSTR),gowwimma,T (FEM),
gu,sid,gu,interjection,,,,,,,gu,,
gubata,sid,gubata,Noun,,,,,,,guwata,T (FEM),
gubati,sid,gubati,Verb,,,,,,,guwati,,
LX000487,sid,gubatʼtʼi,Verb,,,,praise-AB-,gubat-ɗ-,gubat-D (AB)-,guwaxxi,AB,
gubbi,sid,gubbi,Verb,,,,,,,gubbi,,
LX000488,sid,gubeeɲɲa,Noun,,,,praise-DER,gub(at)-eeɲɲa,gub(at)-eeNNa (DER),guweenya,K (MASC),
LX000489,sid,guddiiʧʧo,Noun,,,,,,,guddiichcho,T (FEM),
gudi,sid,gudi,Verb,,,,,,,gudi,,
gudisami,sid,gudisami,Verb,,,,finish-CAUS-PAS-,gud-is-am-,gud-is (CAUS)-am (PAS)-,gudisami,PAS,
gudisi,sid,gudisi,Verb,,,,finish-CAUS-,gud-is-,gud-is (CAUS)-,gudisi,CAUS,
gudumaale,sid,gudumaale,Noun,,,,,,,gudumaale,T (FEM),
LX000490,sid,gufeeɲɲi,Verb,,,,,,,gufeenyi,,
LX000491,sid,gufiɗi,Verb,,,,,,,gufi’ri,,
gugati,sid,gugati,Verb,,,,,,,gugati,,
LX000492,sid,gugaʧʧiʃiɗi,Verb,,,,run.slowly-CAUS-AB,gugat-siis-iɗ,gugat-siis (CAUS)-iD (AB),gugachchishi’ri,AB,
gugga,sid,gugga,adjective,,,,,,,gugga,,
guggudo,sid,guggudo,Noun,,,,,,,guggudo,K (MASC),
LX000493,sid,gugguggu... etʧ.,interjection,,,,,,,gugguggu... etch.,,
gugi,sid,gugi,Verb,,,,,,,gugi,,
gulanta,sid,gulanta,Noun,,,,,,,gulanta,K (MASC),
gulufi,sid,gulufi,Verb,,,,,,,gulufi,,
LX000494,sid,gulupʼpʼi,Verb,,,,ride-AB-,guluf-ɗ-,guluf-D (AB)-,guluphi,AB,
LX000495,sid,guluʧʧo,Noun,,,,ride-DER.SGLT,guluf-ʧo,guluf-co (DER.SGLT),guluchcho,K (MASC),
gumaata,sid,gumaata,Noun,,,,,,,gumaata,K (MASC),
gume,sid,gume,Noun,,,,,,,gume,T (FEM),
gumma,sid,gumma,Noun,,,,fruit-PL,gum(a)-ma,gum(a)-ma (PL),gumma,K (MASC),
gungumi,sid,gungumi,Verb,,,,,,,gungumi,,
gunnimma,sid,gunnimma,Noun,,,,widow-ABSTR,gunn-imma,gunn-imma (ABSTR),gunnimma,T (FEM),
gunnitte,sid,gunnitte,Noun,,,,widow-DER.SGLT.T,gunn-itte,gunn-itte (DER.SGLT.T),gunnitte,T (FEM),
gunnoota,sid,gunnoota,Noun,,,,widow-DER.PL,gunn-oota,gunn-oota (DER.PL),gunnoota,K (MASC),
guntuti,sid,guntuti,Verb,,,,,,,guntuti,,
gura,sid,gura,Noun,,,,,,,gura,T (FEM),
guraiidi,sid,guraiidi,adjective,,,,left-DER,gura-iidi,gura-iidi (DER),gurayiidi,,
gurdi,sid,gurdi,Verb,,,,,,,gurdi,,
guri,sid,guri,Verb,,,,,,,guri,,
LX000496,sid,gurraʔe,Noun,,,,,,,gurrae,K (MASC),
gursumeete,sid,gursumeete,Noun,,,,,,,gursumeete,T (FEM),
LX000497,sid,guruʔmiʧʧo,Noun,,,,,,,guru’michcho,K (MASC),
gusso,sid,gusso,Noun,,,,,,,gusso,T (FEM),
guti,sid,guti,Verb,,,,,,,guti,,
gutisi,sid,gutisi,Verb,,,,do.smth.early-CAUS-,gut-is-,gut-is (CAUS)-,gutisi,CAUS,
guto,sid,guto,Noun,,,,,,,guto,K (MASC),
LX000498,sid,gutʼtʼi,Verb,,,,finish-AB-,gud-ɗ-,gud-D (AB)-,guxxi,AB,
LX000499,sid,guukʼi,Verb,,,,,,,guuqi,,
guuli,sid,guuli,Verb,,,,,,,guuli,,
LX000500,sid,guunʤo,Noun,,,,,,,guunjo,T (FEM),
guuti,sid,guuti,Verb,,,,,,,guuti,,
-ha,sid,-ha,nominalizer,,,,,,,-ha,,
haabi,sid,haabi,Verb,,,,,,,haawi,,
haabissi,sid,haabissi,Verb,,,,recline-CAUS-,haab-iss-,haab-iss (CAUS)-,haawissi,CAUS,
LX000501,sid,haaɗi,Verb,,,,,,,haa’ri,,
haafa,sid,haafa,Noun,,,,,,,haafa,K (MASC) ; K (MASC),
LX000502,sid,haakʼe,Noun,,,,,,,haaqe,T (FEM),
haamba,sid,haamba,Noun,,,,,,,haamba,K (MASC),
haammo,sid,haammo,Noun,,,,,,,haammo,T (FEM),
haanto,sid,haanto,Noun,,,,,,,haanto,K (MASC),
LX000503,sid,haanʧʼiɗi,Verb,,,,rumination-DER.AB-,hanʧʼ(o)-iɗ-,hanC(o)-iD (DER.AB)-,haanci’ri,AB,
LX000504,sid,haanʧʼo,Noun,,,,,,,haanco,T (FEM),
haarimi,sid,haarimi,Verb,,,,,,,haarimi,,
haarimo,sid,haarimo,Noun,,,,,,,haarimo,T (FEM),
haaro,sid,haaro,adjective,,,,,,,haaro,,
LX000505,sid,haarooʔma,Noun,,,,be.renewed-INF,haaroʔm-a,haaroxm-a (INF),haaroo’ma,T (FEM),
LX000506,sid,haarooʔmi,Verb,,,,new-DER-AB-,haar(o)-oom-ɗ-,haar(o)-oom (DER)-D (AB)-,haaroo’mi,,
haba,sid,haba,Noun,,,,,,,hawa,T (FEM),
habaasa,sid,habaasa,proper noun,,,,,,,hawaasa,,
habaasi,sid,habaasi,Noun,,,,,,,,,
habado,sid,habado,Noun,,,,,,,hawado,K (MASC),
LX000507,sid,haballe hagiɗɗitto,adverbial,,,,INTERJ be.happy-AB-PFV.2M,haballe hagir-ɗ-itto,haballe (INTERJ) hagir-D (AB)-itto (PFV.2M),hawalle hagidhitto,,
haballe_keerunni_daitto,sid,haballe keerunni daitto,adverbial,,,,INTERJ peace-OBL-ABL happen.gradually-PFV.2M,haballe keer(e)-u-nni da-itto,haballe (INTERJ) keer(e)-u (OBL)-nni (ABL) da-itto (PFV.2M),hawalle keerunni dayitto,,
haballella,sid,haballella,adverbial,,,,INTERJ-EMPH,haballe-lla,haballe (INTERJ)-lla (EMPH),hawallella,,
LX000508,sid,habaɲɲa,Noun,,,,,,,hawanya,K (MASC),
habarri,sid,habarri,Verb,,,,,,,hawarri,,
habarro,sid,habarro,Noun,,,,,,,hawarro,T (FEM),
LX000509,sid,habaʧʼʧʼi yi,Verb,,,,IDEO say,habaʧʼʧʼi y-,,hawacci yi,COMP,
habbarra,sid,habbarra,Noun,,,,,,,habbarra,T (FEM),
habeela,sid,habeela,proper noun,,,,,,,haweela,,
habeelaanto,sid,habeelaanto,Noun,,,,area.in.Sidaama-DER-PL,habeel(a)-aan-to,habeel(a)-aan (DER)-to (PL),haweelaanto,K (MASC),
habi,sid,habi,Verb,,,,,,,hawi,,
habunaate,sid,habunaate,Noun,,,,,,,hawunaate,K (MASC),
habusa,sid,habusa,Noun,,,,,,,hawusa,K (MASC),
LX000510,sid,habuuraanʧo,Noun,,,,plow.with.oxen-AG-SGLT,habuur-aan-ʧo,habuur-aan (AGNT)-co (SGLT),hawuuraancho,K (MASC),
habuuri,sid,habuuri,Verb,,,,,,,hawuuri,,
LX000511,sid,habuurʃa,Noun,,,,plow.with.oxen-DER,habuur-ʃa,habuur-Sa (DER),hawuursha,K (MASC),
hadara,sid,hadara,Noun,,,Amharic adära 'responsibility',,,,hadara,,
hadari,sid,hadari,Verb,,,,,,,hadari,,
hadiro,sid,hadiro,Noun,,,,,,,hadiro,K (MASC),
LX000512,sid,hadiʧʧo,Noun,,,,,,,hadichcho,K (MASC),
LX000513,sid,haʤa,Noun,,,,,,,haja,T (FEM),
LX000514,sid,haʤaʤami,Verb,,,,order-PAS-,haʤaʤ-am-,hajaj-am (PAS)-,hajajami,PAS,
LX000515,sid,haʤaʤi,Verb,,,,,,,hajaji,,
LX000516,sid,haʤaʤo,Noun,,,,order-DER,haʤaʤ-o,hajaj-o (DER),hajajo,T (FEM),
LX000517,sid,haʤo,Noun,,,,,,,hajo,T (FEM),
LX000518,sid,haɗaanʧo,Noun,,,,go-AG-SGLT,haɗ-aan-ʧo,haD-aan (AGNT)-co (SGLT),ha’raancho,K (MASC),
LX000519,sid,haɗami,Verb,,,,go-PAS-,haɗ-am-,haD-am (PAS)-,ha’rami,PAS,
LX000520,sid,haɗɗo,Noun,,,,,,,hadho,T (FEM),
LX000521,sid,haɗi,Verb,,,,,,,ha’ri,,
LX000522,sid,haɗinʃo,Noun,,,,go-DER,haɗ-inʃo,haD-inSo (DER),ha’rinsho,T (FEM),
LX000523,sid,haɗisi,Verb,,,,go-CAUS,haɗ-is,haD-is (CAUS),ha’risi,CAUS,
LX000524,sid,haɗisiisi,Verb,,,,go-CAUS-,haɗ-isiis-,haD-isiis (CAUS)-,ha’risiisi,CAUS,
LX000525,sid,haɗiʃʃa,Noun,,,,,,,ha’rishsha,T (FEM),
LX000526,sid,haɗuma,Noun,,,,go-DER,haɗ-uma,haD-uma (DER),ha’ruma,K (MASC),
LX000527,sid,haffi ʔassi,Verb,,,,IDEO do,haffi ʔass-,,haffi assi,COMP,
hafuura,sid,hafuura,Noun,,,,,,,hafuura,T (FEM),
hafuuraamo,sid,hafuuraamo,Noun,,,,greed-DER,hafur(a)-aamo,hafur(a)-aamo (DER),hafuuraamo,K (MASC),
hagere_marami,sid,hagere marami,Noun,,,,,,,hagere marami,T (FEM),
hagere_selame,sid,hagere selame,Noun,,,,,,,hagere selame,T (FEM),
LX000528,sid,hagiɗɗi,Verb,,,,be.happy-AB,hagir-ɗ,hagir-D (AB),hagidhi,AB,
hagirre,sid,hagirre,Noun,,,,be.happy-ABSTR,hagir-ne,hagir-ne (ABSTR),hagirre,K (MASC),
LX000529,sid,hagirre ʔassi,Verb,,,,joy make,hagirre ʔass-,hagirre xass ('make')-,hagirre assi,,
LX000530,sid,hagirre ʔui,Verb,,,,joy give-,hagirre ʔu-,hagirre xu-,hagirre uyi,,
hagirsiisi,sid,hagirsiisi,Verb,,,,be.happy-CAUS-,hagir-siis-,hagir-siis (CAUS)-,hagirsiisi,CAUS,
haikkisi,sid,haikkisi,Verb,,,,drink-CAUS-,haikk-is-,haikk-is (CAUS)-,hayikkisi,CAUS,
haimanote,sid,haimanote,Noun,,,Amharic haymanot 'religion',,,,hayimanote,T (FEM),
haisso,sid,haisso,Noun,,,,,,,hayisso,T (FEM),
LX000531,sid,haiʃʃi,Verb,,,,,,,hayishshi,,
LX000532,sid,haiʃʃiɗi,Verb,,,,wash-AB-,haiʃʃ-iɗ-,haiSS-iD (AB)-,hayishshi’ri,AB,
LX000533,sid,haitʼe,Noun,,,,,,,hayixe,K (MASC),
hakka,sid,hakka,Pronoun,,,,,,,hakka,DEMONSTRATIVE,
hakka_waro,sid,hakka waro,adverbial,,,,to.there time,hakka waro,hakka (DEM) waro,hakka waro,,
hakka_woite,sid,hakka woite,adverbial,,,,DEM time,hakka woite,hakka (DEM) woite,hakka woyite,,
hakkanni,sid,hakkanni,adverbial,,,,to.there-ABL,hakka-nni,hakka-nni (ABL),hakkanni,,
hakkii,sid,hakkii,adverbial,,,,,,,hakkii,,
LX000534,sid,hakkiino saʔe,adverbial,,,,there-ABL-and pass-CVB,hakk(o)-ii-no saʔ-e,hakk(o)-ii (ABL)-no ('and') sax-e (CVB),hakkiino sae,,
LX000535,sid,hakkiiʧo,Pronoun,,,,there-SGLT,hakk(o)-iʧʧo,hakk(o)-iicco (SGLT),hakkiichcho,DEMONSTRATIVE,
LX000536,sid,hakkiʧʧinni,adverbial,,,,to.there-SGLT-ABL,hakk(a)-iʧʧ(o)-inni,hakk(a)-icc(o) (SGLT)-inni (ABL),hakkichchinni,,
LX000537,sid,hakkiʧʧinni kae,adverbial,,,,to.there-SGLT-ABL rise-CVB.3K,hakk(a)-iʧʧ(o)-inni kaʔ-e,hakk(a)-icc(o) (SGLT)-inni (ABL) kax 'rise' -e (CVB.3K),hakkichchinni kae,,
LX000538,sid,hakkiʧʧo,Pronoun,,,,there-SGLT,hakk(o)-iʧʧo,hakk(o)-icco (SGLT),hakkichcho,DEMONSTRATIVE,
hakko,sid,hakko,Pronoun,,,,,,,hakko,DEMONSTRATIVE ; DEMONSTRATIVE ; DEMONSTRATIVE,
hakko_hirbinni,sid,hakko hirbinni,adverbial,,,,DEM movement-ABL,ɗEM hirb(a)-inni,DEM hirb(a)-inni (ABL),hakko hirbinni,,
LX000539,sid,hakko ʔafiira,adverbial,,,,that mouth-OBL-DAT,hakko ʔaf(oo)-ii-ra,hakko xaf(oo)-ii (OBL)-ra (DAT),hakko afiira,,
hakkonne,sid,hakkonne,Pronoun,,,,there-ACC,hakk(o)-onne,hakk(o)-onne (ACC),hakkonne,,
hakkonnella_kainni,sid,hakkonnella kainni,adverbial,,,,that-EMPH rise-PFV.3K-ABL,hakkonne-lla kaʔ-i-nni,hakkonne-lla (EMPH) kax-i (PFV.3K)-nni (ABL),hakkonnella kayinni,,
hakkore,sid,hakkore,Pronoun,,,,there-PL.ACC,hakko-re,hakko-re (PL.ACC),hakkore,DEMONSTRATIVE,
LX000540,sid,hakkunninni kaʔinohunni,adverbial,,,,there-OBL-ABL-ABL rise-IMPF.3K-NR.K-ABL,hakk(o)-u-nni-nni kaʔ-ino-hu-nni,hakk(o)-u (OBL)-nni (ABL)-nni(ABL) kax-ino (IMPF.3K)-hu (NR.K)-nni (ABL),hakkunninni kainohunni,,
hakkuri,sid,hakkuri,Pronoun,,,,there-OBL-PL.NOM/GEN,hakk(o)-u-ri,hakk(o)-u (OBL)-ri (PL:NOM/GEN),hakkuri,DEMONSTRATIVE,
hakkuu,sid,hakkuu,adverbial,,,,there-OBL-ABL,hakk(o)-u-nni,hakk(o)-u (OBL)-nni (ABL),hakkuu,,
LX000541,sid,hakʼi,Verb,,,,,,,haqi,,
LX000542,sid,hakʼkʼa,Noun,,,,,,,haqqa,K (MASC),
LX000543,sid,hakʼkʼe,Noun,,,,,,,haqqe,T (FEM),
LX000544,sid,hakʼkʼi,Noun,,,,,,,,,
LX000545,sid,hakʼkʼiʧʧo,Noun,,,,firewood-SGLT,hakʼkʼ(e)-iʧʧo,haKK(e)-icco (SGLT),haqqichcho,K (MASC) ; T (FEM),
LX000546,sid,halaalaɲɲa,adjective,,,Amharic -äñña,truth-DER,halaal(e)-aɲɲa,halaal(e)-aNNa (DER),halaalanya,,
halaale,sid,halaale,Noun,,,,,,,halaale,K (MASC),
LX000547,sid,halaale gaʔni,Verb,,,,truth beat,halaale gaʔn-,halaale gaxn ('beat')-,halaale ga’ni,,
halaalinta,sid,halaalinta,adverbial,,,,truth-DER,halaal(e)-inta,halaal(e)-inta (DER),halaalinta,,
LX000548,sid,halakʼa,Noun,,,Amharic aläk'a 'chief',,,,halaqa,K (MASC),
LX000549,sid,halakʼiʧʧa,Noun,,,,chief-SGLT,halakʼ(a)-iʧʧa,halaK(a)-icca (SGLT),halaqichcha,K (MASC),
LX000550,sid,halakʼiʧʧo,Noun,,,,chief-SGLT,hallakʼ(a)-iʧʧo,halaK(a)-icco (SGLT),halaqichcho,K (MASC),
halalla,sid,halalla,Noun,,,,be.wide-DER,halal-na,halal-na (DER),halalla,K (MASC),
LX000551,sid,halamaanʧo,Noun,,,,help.each.other-AG-SGLT,halam-aan-ʧo,halam-aan (AGNT)-co (SGLT),halamaancho,K (MASC),
halami,sid,halami,Verb,,,,help-PAS-,hal-am-,hal-am (PAS)-,halami,PAS,
halange,sid,halange,Noun,,,Amharic alänga 'whip',,,,halange,T (FEM),
LX000552,sid,halaʃʃi,Verb,,,,be.wide-CAUS-,halal-s-,halal-s (CAUS)-,halashshi,CAUS,
LX000553,sid,halaʔlado,adjective,,,,spread.out-DER,halaʔl-ado,halaxl-ado (DER),hala’lado,,
LX000554,sid,halaʔlado,Noun,,,,,,,hala’lado,K (MASC),
LX000555,sid,halaʔlado wa,Noun,,,,width water,halaʔlado wa,halaxlado wa,hala’lado wa,,
